scenario,placement,storage_read_gbps,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
node1_fail_join,lazarus,3.5,24,1.0,307.6324020967401,0.6745070147035087,360.8330909251727,1262.9158182381045,403.12154958168327,25.0,5882007.67145894,957567531.7189273,2270058.1341653825,5478616.203960224,957164140.2514286,418759311360.0,0.25
node1_fail_join,lazarus,14.0,20,1.0,87.30622586660445,0.7418160659408255,102.85714285714286,1440.0,257.04527218898977,25.0,4407181.232471573,221232469.50346583,1948437.137751573,4058744.09472,220884032.36571425,386547056640.0,0.3
node1_fail_join,lazarus,50.0,21,1.0,20.916461788832162,0.6093439786662666,24.29521870258524,1214.7609351292622,445.2349350964411,25.0,6382161.259266345,68134760.56354037,2225562.066626089,5985170.621211684,67737769.92548572,423361062034.2857,0.19047619047619047
node1_fail_join,uniform,3.5,24,1.0,308.6308655122238,0.676618576291745,361.9047619047619,1266.6666666666667,2002.199276223276,25.0,5717351.858584042,957566470.0812125,2268996.4964507082,5315022.0287999995,957164140.2514286,418759311360.0,0.25
node1_fail_join,uniform,14.0,20,1.0,87.30622586660445,0.7418160659408255,102.85714285714286,1440.0,257.04527218898977,25.0,4407181.232471573,221232469.50346583,1948437.137751573,4058744.09472,220884032.36571425,386547056640.0,0.3
node1_fail_join,uniform,50.0,21,1.0,20.996661959681127,0.6117571919099652,24.38095238095238,1219.047619047619,2272.7523369725473,25.0,6193983.187409319,68133547.26329502,2224348.766380748,5798205.8496,67737769.92548572,423361062034.2857,0.19047619047619047
rank4_fail_join,lazarus,3.5,76,1.0,127.43112210207609,0.17175780808799654,132.8515183110547,464.9803140886914,1534.979833542988,6.25,6130673.639230246,401812167.524343,518551.096072351,6033175.174736842,401714669.0598496,175750167713.6842,0.0
rank4_fail_join,lazarus,14.0,72,1.0,33.261268897713165,0.17599795164549406,34.6612141574807,485.2569982047298,1565.0142475523478,6.25,5815997.7283658935,101498178.24371828,491891.24943255994,5724106.478933333,101406286.99428572,177461002240.0,0.0
rank4_fail_join,lazarus,50.0,76,1.0,8.948091994575279,0.17175780808799654,9.299606281773828,464.9803140886914,1534.979833542988,6.25,6130673.639230246,28217525.29868288,518551.096072351,6033175.174736842,28120026.834189475,175750167713.6842,0.0
rank4_fail_join,uniform,3.5,76,1.0,186.20189987594887,0.20772960245103705,196.99248120300751,689.4736842105264,4033.491413082631,6.25,5186691.976386711,436055873.53187543,521599.1258603951,5086145.482105263,435955327.037594,190730455578.94736,0.0
rank4_fail_join,uniform,14.0,72,1.0,48.77528597291874,0.21398783120476084,51.58730158730159,722.2222222222222,3679.445067088954,6.25,4819900.219663604,110537452.37692074,495436.1940636048,4724464.025599999,110442016.18285714,193273528320.0,0.0
rank4_fail_join,uniform,50.0,76,1.0,13.06814230884929,0.20772960245103705,13.789473684210526,689.4736842105264,4033.491413082631,6.25,5186691.976386711,30617419.38691303,521599.1258603951,5086145.482105263,30516872.89263158,190730455578.94736,0.0
